Employment_Type,Education_Level,Job_Stability_Years,Family_Dependents,Monthly_Income,District,House_Ownership_Status,Vehicle_Ownership,Active_Bank_Accounts,Average_Monthly_Expenses,Existing_EMI_Burden,Emergency_Savings_Availability,Utility_Bill_Payment_Regularity,score_income,score_employment,score_education,score_job_stability,score_dependents,score_district,score_credit,score_sentiment,Repayment_Score,repayment_score_out_of_500,repayment_score_percent
Trader,10th,0.33,1,102510,Hyderabad,Own,Car,3,43138,40654,Yes,Always On Time,100.0,85.0,65.0,1.65,83.33,80.0,60.34,90.0,70.67,353.33,70.67
Trader,Graduate,8.7,1,86704,Medchal,Family,2W,2,26422,33206,Yes,Regularly Late,86.7,85.0,85.0,43.5,83.33,80.0,61.7,60.0,73.15,365.77,73.15
Farmer,Graduate,9.08,0,112421,Hyderabad,Rent,None,1,7910,24827,No,Always On Time,100.0,70.0,85.0,45.4,100.0,80.0,77.92,60.0,77.29,386.45,77.29
Government,10th,19.17,4,111188,Warangal,Own,Car,2,50009,28031,No,Regularly Late,100.0,100.0,65.0,95.85,33.33,80.0,74.79,60.0,76.12,380.61,76.12
Trader,12th,13.34,3,92141,Kamareddy,Own,2W,3,36907,19087,Yes,Sometimes Late,92.14,85.0,75.0,66.7,50.0,80.0,79.29,60.0,73.52,367.58,73.52
Trader,Postgraduate,12.28,3,90039,Medchal,Own,2W,4,29688,31564,Yes,Regularly Late,90.04,85.0,100.0,61.4,50.0,80.0,64.94,60.0,73.92,369.61,73.92
Trader,12th,14.61,5,72675,Jagtial,Family,Car,3,25185,27722,No,Sometimes Late,72.68,85.0,75.0,73.05,16.67,80.0,61.86,60.0,65.53,327.65,65.53
Gig Worker,10th,17.97,1,112360,Siddipet,Rent,None,3,24835,31064,Yes,Regularly Late,100.0,75.0,65.0,89.85,83.33,80.0,72.35,60.0,78.19,390.96,78.19
Labour,10th,14.05,1,34067,Medak,Family,Car,4,7124,1735,Yes,Regularly Late,34.07,60.0,65.0,70.25,83.33,80.0,94.91,60.0,68.44,342.22,68.44
Trader,10th,15.13,3,64584,Warangal,Family,None,2,5284,25675,No,Sometimes Late,64.58,85.0,65.0,75.65,50.0,80.0,60.25,60.0,67.56,337.8,67.56
Labour,Graduate,10.64,5,21150,Bhadradri Kothagudem,Rent,None,4,7321,9419,No,Regularly Late,21.15,60.0,85.0,53.2,16.67,80.0,55.47,60.0,53.94,269.68,53.94
Farmer,10th,11.76,0,101001,Mahbubnagar,Own,Car,3,9543,12882,No,Sometimes Late,100.0,70.0,65.0,58.8,100.0,80.0,87.25,60.0,77.63,388.15,77.63
Farmer,Postgraduate,19.98,4,37816,Medchal,Own,Car,2,12688,9205,No,Sometimes Late,37.82,70.0,100.0,99.9,33.33,80.0,75.66,60.0,69.59,347.94,69.59
Labour,10th,4.72,2,40944,Hyderabad,Family,2W,4,8379,11011,Yes,Regularly Late,40.94,60.0,65.0,23.6,66.67,80.0,73.11,60.0,58.66,293.32,58.66
Trader,10th,17.89,3,15110,Medak,Family,Car,2,3851,245,No,Sometimes Late,15.11,85.0,65.0,89.45,50.0,80.0,98.38,60.0,67.87,339.34,67.87
Government,10th,7.75,2,24760,Rangareddy,Rent,Car,2,7693,6544,No,Always On Time,24.76,100.0,65.0,38.75,66.67,80.0,73.57,60.0,63.59,317.97,63.59
Government,12th,12.46,0,69247,Mahbubnagar,Own,Car,1,17862,33355,Yes,Sometimes Late,69.25,100.0,75.0,62.3,100.0,80.0,51.83,60.0,74.8,373.99,74.8
Labour,12th,2.27,2,87035,Mancherial,Own,2W,3,6405,29947,No,Regularly Late,87.04,60.0,75.0,11.35,66.67,80.0,65.59,60.0,63.21,316.03,63.21
Government,12th,8.4,5,106423,Karimnagar,Family,Car,3,21907,3120,Yes,Regularly Late,100.0,100.0,75.0,42.0,16.67,80.0,97.07,60.0,71.34,356.71,71.34
Trader,Postgraduate,5.63,1,14931,Karimnagar,Family,Car,1,4452,1072,No,Always On Time,14.93,85.0,100.0,28.15,83.33,80.0,92.82,60.0,68.03,340.15,68.03
Farmer,10th,12.15,4,42128,Siddipet,Rent,None,4,9168,17832,Yes,Sometimes Late,42.13,70.0,65.0,60.75,33.33,80.0,57.67,60.0,58.61,293.05,58.61
Government,Postgraduate,2.85,2,81545,Hyderabad,Family,Car,3,27362,11017,Yes,Sometimes Late,81.54,100.0,100.0,14.25,66.67,80.0,86.49,60.0,73.62,368.09,73.62
Gig Worker,Postgraduate,7.27,4,88272,Khammam,Family,None,4,23292,34772,No,Regularly Late,88.27,75.0,100.0,36.35,33.33,80.0,60.61,60.0,66.7,333.48,66.7
Trader,Graduate,17.41,4,58869,Hyderabad,Rent,Car,2,6597,4384,No,Sometimes Late,58.87,85.0,85.0,87.05,33.33,80.0,92.55,60.0,72.73,363.63,72.73
Government,12th,13.91,1,108660,Rangareddy,Own,None,1,38612,43538,No,Regularly Late,100.0,100.0,75.0,69.55,83.33,80.0,59.93,60.0,78.48,392.38,78.48
Labour,10th,3.06,4,81315,Adilabad,Own,Car,3,46632,12169,Yes,Regularly Late,81.32,60.0,65.0,15.3,33.33,80.0,85.03,60.0,60.0,299.99,60.0
Trader,Graduate,11.19,2,75716,Mahbubnagar,Rent,Car,4,3208,5523,No,Sometimes Late,75.72,85.0,85.0,55.95,66.67,80.0,92.71,60.0,75.13,375.65,75.13
Gig Worker,10th,14.98,1,59014,Bhadradri Kothagudem,Family,Car,4,8260,1594,No,Sometimes Late,59.01,75.0,65.0,74.9,83.33,80.0,97.3,60.0,74.32,371.59,74.32
Gig Worker,Postgraduate,1.63,4,119265,Nalgonda,Family,None,4,41063,6667,No,Always On Time,100.0,75.0,100.0,8.15,33.33,80.0,94.41,60.0,68.86,344.31,68.86
Trader,10th,19.91,3,50333,Hyderabad,Rent,Car,3,5763,15710,No,Sometimes Late,50.33,85.0,65.0,99.55,50.0,80.0,68.79,60.0,69.83,349.17,69.83
Gig Worker,Postgraduate,11.02,1,92268,Mahabubabad,Family,2W,2,22127,30500,Yes,Regularly Late,92.27,75.0,100.0,55.1,83.33,80.0,66.94,60.0,76.58,382.9,76.58
Government,Graduate,15.81,4,108735,Jagtial,Rent,2W,4,15875,5203,Yes,Always On Time,100.0,100.0,85.0,79.05,33.33,80.0,95.22,90.0,82.82,414.12,82.82
Government,Graduate,10.09,5,32254,Nalgonda,Rent,Car,3,3380,6256,Yes,Always On Time,32.25,100.0,85.0,50.45,16.67,80.0,80.6,90.0,66.87,334.36,66.87
Gig Worker,Postgraduate,14.18,0,21289,Siddipet,Own,2W,4,4906,7917,Yes,Sometimes Late,21.29,75.0,100.0,70.9,100.0,80.0,62.81,60.0,71.25,356.25,71.25
Government,12th,6.53,4,15661,Nizamabad,Family,None,2,8254,2048,No,Always On Time,15.66,100.0,75.0,32.65,33.33,80.0,86.92,60.0,60.45,302.23,60.45
Labour,10th,13.83,1,51793,Rangareddy,Own,Car,3,25880,12264,Yes,Sometimes Late,51.79,60.0,65.0,69.15,83.33,80.0,76.32,60.0,68.2,341.0,68.2
Farmer,12th,6.04,4,77980,Nizamabad,Own,2W,2,40934,12089,Yes,Regularly Late,77.98,70.0,75.0,30.2,33.33,80.0,84.5,60.0,63.88,319.38,63.88
Labour,12th,4.66,3,56129,Medak,Rent,2W,3,26990,11361,Yes,Regularly Late,56.13,60.0,75.0,23.3,50.0,80.0,79.76,60.0,60.52,302.62,60.52
Labour,Postgraduate,8.3,2,111024,Rangareddy,Family,Car,2,22757,24525,No,Always On Time,100.0,60.0,100.0,41.5,66.67,80.0,77.91,60.0,73.26,366.3,73.26
Farmer,Postgraduate,8.49,5,77369,Hyderabad,Own,Car,1,13394,6009,No,Regularly Late,77.37,70.0,100.0,42.45,16.67,80.0,92.23,60.0,67.34,336.7,67.34
Farmer,12th,0.19,1,108168,Warangal,Rent,2W,1,4661,46672,No,Always On Time,100.0,70.0,75.0,0.95,83.33,80.0,56.85,60.0,65.77,328.84,65.77
Labour,Graduate,7.14,4,28180,Medak,Family,2W,2,7562,6370,No,Always On Time,28.18,60.0,85.0,35.7,33.33,80.0,77.4,60.0,57.45,287.26,57.45
Gig Worker,Graduate,2.38,1,22543,Jagtial,Family,Car,1,12707,6445,Yes,Regularly Late,22.54,75.0,85.0,11.9,83.33,80.0,71.41,60.0,61.15,305.74,61.15
Farmer,12th,17.31,3,115593,Medak,Own,2W,2,20442,50747,No,Regularly Late,100.0,70.0,75.0,86.55,50.0,80.0,56.1,60.0,72.21,361.03,72.21
Labour,Graduate,10.93,2,80075,Adilabad,Family,Car,4,36654,19922,Yes,Sometimes Late,80.08,60.0,85.0,54.65,66.67,80.0,75.12,60.0,70.19,350.95,70.19
Labour,10th,9.14,3,49990,Nalgonda,Own,Car,1,25360,22842,Yes,Regularly Late,49.99,60.0,65.0,45.7,50.0,80.0,54.31,60.0,58.12,290.62,58.12
Labour,10th,8.76,1,66665,Medak,Own,Car,2,17555,1891,Yes,Always On Time,66.66,60.0,65.0,43.8,83.33,80.0,97.16,90.0,73.25,366.23,73.25
Labour,12th,0.45,2,76642,Mancherial,Family,Car,4,9188,29630,Yes,Always On Time,76.64,60.0,75.0,2.25,66.67,80.0,61.34,90.0,63.99,319.94,63.99
Gig Worker,Graduate,12.24,4,24099,Bhadradri Kothagudem,Own,None,2,4975,1994,Yes,Regularly Late,24.1,75.0,85.0,61.2,33.33,80.0,91.73,60.0,63.79,318.97,63.79
Trader,Graduate,2.56,5,105766,Nalgonda,Rent,Car,2,3265,43186,No,Always On Time,100.0,85.0,85.0,12.8,16.67,80.0,59.17,60.0,62.33,311.65,62.33
Government,10th,16.73,2,20166,Warangal,Family,2W,2,7124,7492,Yes,Sometimes Late,20.17,100.0,65.0,83.65,66.67,80.0,62.85,60.0,67.29,336.46,67.29
Gig Worker,12th,14.19,0,69514,Nalgonda,Rent,None,4,24172,27902,Yes,Regularly Late,69.51,75.0,75.0,70.95,100.0,80.0,59.86,60.0,73.79,368.95,73.79
Government,10th,2.67,5,66196,Nalgonda,Own,Car,2,7665,6672,No,Regularly Late,66.2,100.0,65.0,13.35,16.67,80.0,89.92,60.0,61.39,306.96,61.39
Labour,12th,19.09,0,103814,Hyderabad,Rent,None,1,19895,27142,No,Sometimes Late,100.0,60.0,75.0,95.45,100.0,80.0,73.86,60.0,80.54,402.69,80.54
Labour,10th,13.71,1,23868,Kamareddy,Own,None,2,4424,5727,No,Sometimes Late,23.87,60.0,65.0,68.55,83.33,80.0,76.01,60.0,64.59,322.97,64.59
Government,Postgraduate,4.92,4,40293,Medchal,Own,None,1,3459,14385,Yes,Always On Time,40.29,100.0,100.0,24.6,33.33,80.0,64.3,90.0,66.57,332.83,66.57
Farmer,12th,15.83,0,15265,Adilabad,Family,Car,3,3302,552,Yes,Regularly Late,15.26,70.0,75.0,79.15,100.0,80.0,96.38,60.0,71.97,359.87,71.97
Farmer,10th,3.02,4,111183,Hyderabad,Rent,Car,3,27979,534,No,Always On Time,100.0,70.0,65.0,15.1,33.33,80.0,99.52,60.0,65.37,326.85,65.37
Farmer,Graduate,8.07,4,57351,Mancherial,Family,None,1,3001,9498,Yes,Sometimes Late,57.35,70.0,85.0,40.35,33.33,80.0,83.44,60.0,63.68,318.42,63.68
Government,12th,11.58,4,71611,Nizamabad,Own,Car,2,16216,27414,Yes,Regularly Late,71.61,100.0,75.0,57.9,33.33,80.0,61.72,60.0,67.45,337.23,67.45
Labour,Postgraduate,18.24,0,28354,Adilabad,Family,None,1,16383,712,No,Regularly Late,28.35,60.0,100.0,91.2,100.0,80.0,97.49,60.0,77.13,385.65,77.13
Labour,10th,13.25,2,37629,Medak,Own,None,1,19430,7099,No,Sometimes Late,37.63,60.0,65.0,66.25,66.67,80.0,81.13,60.0,64.59,322.93,64.59
Trader,Graduate,1.38,5,72895,Karimnagar,Rent,None,3,24594,2941,Yes,Regularly Late,72.9,85.0,85.0,6.9,16.67,80.0,95.97,60.0,62.8,314.02,62.8
Gig Worker,10th,14.4,4,65012,Siddipet,Rent,None,3,20170,10216,No,Sometimes Late,65.01,75.0,65.0,72.0,33.33,80.0,84.29,60.0,66.83,334.14,66.83
Labour,10th,7.42,0,80395,Kamareddy,Own,2W,1,28821,26996,No,Always On Time,80.4,60.0,65.0,37.1,100.0,80.0,66.42,60.0,68.61,343.07,68.61
Farmer,12th,3.04,5,75923,Jagtial,Family,Car,1,22877,7462,Yes,Always On Time,75.92,70.0,75.0,15.2,16.67,80.0,90.17,90.0,64.12,320.6,64.12
Labour,10th,13.03,2,107422,Adilabad,Own,None,4,33291,36393,Yes,Sometimes Late,100.0,60.0,65.0,65.15,66.67,80.0,66.12,60.0,70.37,351.84,70.37
Farmer,12th,11.61,1,104969,Kamareddy,Rent,2W,1,4194,51023,No,Always On Time,100.0,70.0,75.0,58.05,83.33,80.0,51.39,60.0,72.22,361.11,72.22
Gig Worker,Postgraduate,14.38,5,67709,Nizamabad,Rent,Car,1,7892,5235,Yes,Sometimes Late,67.71,75.0,100.0,71.9,16.67,80.0,92.27,60.0,70.44,352.22,70.44
Farmer,Postgraduate,13.01,4,46941,Rangareddy,Own,Car,1,16558,16450,No,Regularly Late,46.94,70.0,100.0,65.05,33.33,80.0,64.96,60.0,65.04,325.18,65.04
Trader,Graduate,18.95,2,108869,Warangal,Family,None,2,10333,50373,No,Sometimes Late,100.0,85.0,85.0,94.75,66.67,80.0,53.73,60.0,78.14,390.72,78.14
Labour,Postgraduate,11.26,4,33347,Medchal,Rent,Car,3,9753,14864,No,Regularly Late,33.35,60.0,100.0,56.3,33.33,80.0,55.43,60.0,59.8,299.0,59.8
Government,Graduate,19.18,5,96048,Warangal,Rent,Car,4,40595,45222,No,Always On Time,96.05,100.0,85.0,95.9,16.67,80.0,52.92,60.0,73.32,366.58,73.32
Trader,12th,10.2,3,69066,Karimnagar,Rent,2W,4,38005,20205,Yes,Sometimes Late,69.07,85.0,75.0,51.0,50.0,80.0,70.75,60.0,67.6,338.01,67.6
Farmer,Graduate,7.09,4,74342,Adilabad,Rent,2W,2,9070,34872,Yes,Regularly Late,74.34,70.0,85.0,35.45,33.33,80.0,53.09,60.0,61.4,307.01,61.4
Government,Graduate,0.09,5,24982,Bhadradri Kothagudem,Own,Car,4,10970,9446,Yes,Always On Time,24.98,100.0,85.0,0.45,16.67,80.0,62.19,90.0,57.41,287.06,57.41
Trader,Postgraduate,15.06,2,40253,Kamareddy,Rent,2W,1,20618,9224,No,Always On Time,40.25,85.0,100.0,75.3,66.67,80.0,77.09,60.0,73.04,365.19,73.04
Gig Worker,Postgraduate,0.77,1,68144,Jagtial,Rent,2W,3,28348,2942,No,Always On Time,68.14,75.0,100.0,3.85,83.33,80.0,95.68,60.0,70.75,353.76,70.75
Government,Graduate,3.62,4,55396,Adilabad,Family,None,1,14683,2560,No,Always On Time,55.4,100.0,85.0,18.1,33.33,80.0,95.38,60.0,65.9,329.51,65.9
Labour,Postgraduate,6.96,4,23854,Hyderabad,Own,Car,4,11241,9571,Yes,Always On Time,23.85,60.0,100.0,34.8,33.33,80.0,59.88,90.0,60.23,301.17,60.23
Farmer,12th,5.51,0,111805,Medchal,Family,None,4,33577,52635,No,Always On Time,100.0,70.0,75.0,27.55,100.0,80.0,52.92,60.0,70.68,353.42,70.68
Gig Worker,Postgraduate,1.7,0,26252,Siddipet,Rent,Car,2,3783,10331,Yes,Always On Time,26.25,75.0,100.0,8.5,100.0,80.0,60.65,90.0,67.55,337.75,67.55
Farmer,12th,14.82,1,107530,Mancherial,Family,None,2,62256,11796,Yes,Regularly Late,100.0,70.0,75.0,74.1,83.33,80.0,89.03,60.0,78.93,394.66,78.93
Farmer,Graduate,13.39,5,45198,Medchal,Rent,2W,1,10612,5756,Yes,Regularly Late,45.2,70.0,85.0,66.95,16.67,80.0,87.27,60.0,63.88,319.42,63.88
Gig Worker,Postgraduate,15.8,3,56352,Karimnagar,Own,Car,3,6199,23945,Yes,Always On Time,56.35,75.0,100.0,79.0,50.0,80.0,57.51,90.0,73.48,367.41,73.48
Labour,Postgraduate,7.16,1,92515,Kamareddy,Rent,Car,1,54744,22004,No,Always On Time,92.52,60.0,100.0,35.8,83.33,80.0,76.22,60.0,73.48,367.42,73.48
Government,10th,18.14,0,83269,Kamareddy,Rent,Car,3,45014,3545,Yes,Regularly Late,83.27,100.0,65.0,90.7,100.0,80.0,95.74,60.0,84.34,421.69,84.34
Trader,Postgraduate,15.35,1,118470,Hyderabad,Family,Car,1,59478,55637,Yes,Always On Time,100.0,85.0,100.0,76.75,83.33,80.0,53.04,90.0,83.52,417.58,83.52
Government,12th,6.46,0,39202,Rangareddy,Family,2W,1,7933,14262,No,Sometimes Late,39.2,100.0,75.0,32.3,100.0,80.0,63.62,60.0,68.77,343.83,68.77
Farmer,10th,15.89,5,35639,Karimnagar,Own,Car,3,4171,4919,Yes,Regularly Late,35.64,70.0,65.0,79.45,16.67,80.0,86.2,60.0,61.62,308.1,61.62
Labour,Postgraduate,13.88,0,69048,Siddipet,Family,2W,1,32416,7408,Yes,Sometimes Late,69.05,60.0,100.0,69.4,100.0,80.0,89.27,60.0,78.46,392.32,78.46
Gig Worker,10th,1.6,5,28789,Adilabad,Own,Car,4,5103,3933,Yes,Regularly Late,28.79,75.0,65.0,8.0,16.67,80.0,86.34,60.0,52.47,262.37,52.47
Gig Worker,Postgraduate,5.49,2,48432,Khammam,Own,Car,3,28188,9507,No,Sometimes Late,48.43,75.0,100.0,27.45,66.67,80.0,80.37,60.0,67.24,336.2,67.24
Trader,10th,1.22,4,22903,Karimnagar,Rent,None,1,12334,6103,No,Always On Time,22.9,85.0,65.0,6.1,33.33,80.0,73.35,60.0,53.21,266.06,53.21
Farmer,10th,9.57,3,40404,Kamareddy,Rent,Car,2,22981,652,No,Always On Time,40.4,70.0,65.0,47.85,50.0,80.0,98.39,60.0,63.96,319.78,63.96
Trader,Graduate,8.5,2,95298,Siddipet,Own,2W,4,39052,21153,Yes,Regularly Late,95.3,85.0,85.0,42.5,66.67,80.0,77.8,60.0,74.03,370.17,74.03
Farmer,12th,7.12,0,23627,Jagtial,Own,None,3,4196,5432,Yes,Regularly Late,23.63,70.0,75.0,35.6,100.0,80.0,77.01,60.0,65.15,325.77,65.15
Gig Worker,10th,4.37,4,8517,Medchal,Own,Car,3,3167,883,Yes,Regularly Late,8.52,75.0,65.0,21.85,33.33,80.0,89.63,60.0,54.17,270.83,54.17
Farmer,Postgraduate,10.51,3,93308,Kamareddy,Own,Car,3,42674,21799,No,Always On Time,93.31,70.0,100.0,52.55,50.0,80.0,76.64,60.0,72.81,364.06,72.81
Farmer,Postgraduate,2.76,0,29708,Warangal,Family,2W,2,9304,10844,No,Always On Time,29.71,70.0,100.0,13.8,100.0,80.0,63.5,60.0,64.63,323.13,64.63
Government,Postgraduate,6.32,3,111252,Kamareddy,Rent,2W,1,32721,27727,No,Sometimes Late,100.0,100.0,100.0,31.6,50.0,80.0,75.08,60.0,74.58,372.92,74.58
Gig Worker,Graduate,5.32,3,26602,Nizamabad,Family,Car,1,14782,11436,No,Sometimes Late,26.6,75.0,85.0,26.6,50.0,80.0,57.01,60.0,57.53,287.63,57.53
Labour,12th,11.98,5,33597,Kamareddy,Rent,None,3,7206,7602,No,Sometimes Late,33.6,60.0,75.0,59.9,16.67,80.0,77.37,60.0,57.82,289.09,57.82
Government,10th,0.24,5,62073,Mahabubabad,Family,Car,2,30168,5842,Yes,Always On Time,62.07,100.0,65.0,1.2,16.67,80.0,90.59,90.0,63.19,315.96,63.19
Gig Worker,Graduate,13.95,1,83601,Medchal,Family,2W,2,25012,315,No,Sometimes Late,83.6,75.0,85.0,69.75,83.33,80.0,99.62,60.0,79.54,397.69,79.54
Trader,10th,12.2,1,56671,Hyderabad,Family,None,1,3163,1727,No,Regularly Late,56.67,85.0,65.0,61.0,83.33,80.0,96.95,60.0,73.49,367.47,73.49
Government,Graduate,13.21,1,106756,Siddipet,Rent,Car,3,37730,226,Yes,Always On Time,100.0,100.0,85.0,66.05,83.33,80.0,99.79,90.0,88.02,440.11,88.02
Trader,Graduate,1.49,5,77021,Medchal,Rent,2W,2,34181,32843,No,Sometimes Late,77.02,85.0,85.0,7.45,16.67,80.0,57.36,60.0,58.56,292.81,58.56
Trader,10th,19.25,4,27441,Warangal,Family,Car,3,14828,6659,No,Sometimes Late,27.44,85.0,65.0,96.25,33.33,80.0,75.73,60.0,65.34,326.72,65.34
Gig Worker,12th,16.21,2,18029,Karimnagar,Family,None,4,4007,3304,Yes,Sometimes Late,18.03,75.0,75.0,81.05,66.67,80.0,81.67,60.0,67.18,335.89,67.18
Government,10th,9.88,4,83789,Rangareddy,Family,Car,3,21099,32678,Yes,Regularly Late,83.79,100.0,65.0,49.4,33.33,80.0,61.0,60.0,66.57,332.83,66.57
Gig Worker,10th,4.76,3,79733,Khammam,Rent,2W,1,41723,25437,No,Always On Time,79.73,75.0,65.0,23.8,50.0,80.0,68.1,60.0,62.7,313.52,62.7
Farmer,12th,5.71,4,83991,Adilabad,Own,None,4,4632,40559,No,Sometimes Late,83.99,70.0,75.0,28.55,33.33,80.0,51.71,60.0,60.32,301.62,60.32
Government,12th,6.24,4,82594,Medchal,Own,None,3,36929,36764,No,Always On Time,82.59,100.0,75.0,31.2,33.33,80.0,55.49,60.0,64.7,323.51,64.7
Farmer,Postgraduate,5.11,2,20813,Nalgonda,Own,None,2,11920,7124,No,Sometimes Late,20.81,70.0,100.0,25.55,66.67,80.0,65.77,60.0,61.1,305.5,61.1
Farmer,10th,14.93,3,66677,Bhadradri Kothagudem,Family,Car,2,26990,5494,Yes,Sometimes Late,66.68,70.0,65.0,74.65,50.0,80.0,91.76,60.0,69.76,348.8,69.76
Government,Postgraduate,15.95,2,83278,Bhadradri Kothagudem,Rent,None,2,6872,3574,Yes,Always On Time,83.28,100.0,100.0,79.75,66.67,80.0,95.71,90.0,86.93,434.63,86.93
Trader,Graduate,16.77,1,117188,Medchal,Rent,Car,3,26394,40589,No,Always On Time,100.0,85.0,85.0,83.85,83.33,80.0,65.36,60.0,80.32,401.59,80.32
Gig Worker,Graduate,0.01,5,60308,Medchal,Family,None,4,9893,13264,No,Always On Time,60.31,75.0,85.0,0.05,16.67,80.0,78.01,60.0,56.88,284.39,56.88
Farmer,Postgraduate,19.19,1,76653,Adilabad,Family,None,4,22252,26469,Yes,Regularly Late,76.65,70.0,100.0,95.95,83.33,80.0,65.47,60.0,78.93,394.63,78.93
Gig Worker,10th,4.77,2,18863,Kamareddy,Own,2W,2,7402,9393,No,Sometimes Late,18.86,75.0,65.0,23.85,66.67,80.0,50.21,60.0,54.95,274.74,54.95
Gig Worker,12th,2.78,0,30566,Nalgonda,Rent,Car,2,14905,9828,Yes,Always On Time,30.57,75.0,75.0,13.9,100.0,80.0,67.85,90.0,66.54,332.7,66.54
Farmer,Graduate,4.64,4,116417,Nizamabad,Family,Car,4,60142,40224,No,Regularly Late,100.0,70.0,85.0,23.2,33.33,80.0,65.45,60.0,64.62,323.11,64.62
Farmer,12th,15.42,3,104832,Warangal,Rent,2W,4,52529,40640,No,Regularly Late,100.0,70.0,75.0,77.1,50.0,80.0,61.23,60.0,71.67,358.33,71.67
Gig Worker,Graduate,5.08,3,57246,Mahabubabad,Own,2W,1,31197,8503,No,Sometimes Late,57.25,75.0,85.0,25.4,50.0,80.0,85.15,60.0,64.72,323.62,64.72
Trader,Postgraduate,2.32,1,88584,Medak,Family,2W,3,39222,39088,Yes,Regularly Late,88.58,85.0,100.0,11.6,83.33,80.0,55.88,60.0,70.55,352.75,70.55
Gig Worker,Graduate,2.3,1,111508,Kamareddy,Own,2W,1,62748,5440,No,Always On Time,100.0,75.0,85.0,11.5,83.33,80.0,95.12,60.0,73.74,368.72,73.74
Government,Postgraduate,0.3,4,61832,Bhadradri Kothagudem,Family,None,2,18437,12274,Yes,Always On Time,61.83,100.0,100.0,1.5,33.33,80.0,80.15,90.0,68.35,341.76,68.35
Labour,10th,6.59,0,22777,Warangal,Own,None,4,11814,10750,Yes,Always On Time,22.78,60.0,65.0,32.95,100.0,80.0,52.81,90.0,62.94,314.71,62.94
Labour,Graduate,14.21,0,17649,Medak,Own,2W,1,6164,712,Yes,Sometimes Late,17.65,60.0,85.0,71.05,100.0,80.0,95.97,60.0,71.21,356.04,71.21
Farmer,Graduate,7.55,1,89526,Adilabad,Own,2W,3,38959,43668,Yes,Regularly Late,89.53,70.0,85.0,37.75,83.33,80.0,51.22,60.0,69.6,348.02,69.6
Farmer,12th,8.28,2,77203,Siddipet,Rent,Car,2,42532,22649,No,Sometimes Late,77.2,70.0,75.0,41.4,66.67,80.0,70.66,60.0,67.62,338.08,67.62
Government,Postgraduate,14.8,1,112559,Mahabubabad,Own,2W,3,40771,45122,No,Always On Time,100.0,100.0,100.0,74.0,83.33,80.0,59.91,60.0,82.16,410.78,82.16
Gig Worker,12th,8.78,4,83333,Bhadradri Kothagudem,Own,None,3,39118,2385,No,Regularly Late,83.33,75.0,75.0,43.9,33.33,80.0,97.14,60.0,68.46,342.32,68.46
Labour,10th,2.17,2,109323,Adilabad,Family,2W,4,30752,41664,No,Regularly Late,100.0,60.0,65.0,10.85,66.67,80.0,61.89,60.0,63.05,315.25,63.05
Gig Worker,Graduate,19.68,3,50439,Nizamabad,Family,2W,1,12966,870,Yes,Regularly Late,50.44,75.0,85.0,98.4,50.0,80.0,98.28,60.0,74.64,373.2,74.64
Farmer,Postgraduate,10.03,1,10973,Mahabubabad,Own,None,4,4194,3555,Yes,Always On Time,10.97,70.0,100.0,50.15,83.33,80.0,67.61,90.0,69.01,345.04,69.01
Farmer,10th,1.75,5,84497,Rangareddy,Rent,None,2,29184,37251,No,Always On Time,84.5,70.0,65.0,8.75,16.67,80.0,55.91,60.0,55.1,275.52,55.1
Gig Worker,12th,12.85,2,77328,Warangal,Own,Car,1,21252,21452,No,Always On Time,77.33,75.0,75.0,64.25,66.67,80.0,72.26,60.0,71.31,356.56,71.31
Labour,10th,18.69,1,65226,Mahabubabad,Rent,2W,2,28972,582,Yes,Sometimes Late,65.23,60.0,65.0,93.45,83.33,80.0,99.11,60.0,75.76,378.82,75.76
Gig Worker,10th,16.26,2,92013,Mahbubnagar,Family,None,1,31263,33995,No,Regularly Late,92.01,75.0,65.0,81.3,66.67,80.0,63.05,60.0,72.88,364.4,72.88
Gig Worker,12th,15.13,5,65807,Adilabad,Own,None,2,8037,23896,No,Sometimes Late,65.81,75.0,75.0,75.65,16.67,80.0,63.69,60.0,63.98,319.88,63.98
Trader,10th,19.71,3,25383,Nizamabad,Own,None,1,10989,1410,No,Sometimes Late,25.38,85.0,65.0,98.55,50.0,80.0,94.45,60.0,69.8,348.99,69.8
Farmer,10th,10.52,0,77217,Jagtial,Own,2W,2,33479,13955,No,Regularly Late,77.22,70.0,65.0,52.6,100.0,80.0,81.93,60.0,73.34,366.72,73.34
Trader,12th,13.65,2,24889,Adilabad,Family,2W,1,7900,10115,No,Always On Time,24.89,85.0,75.0,68.25,66.67,80.0,59.36,60.0,64.9,324.48,64.9
Labour,12th,1.29,5,70196,Siddipet,Family,None,4,26602,22724,Yes,Always On Time,70.2,60.0,75.0,6.45,16.67,80.0,67.63,90.0,58.24,291.21,58.24
Government,Postgraduate,1.51,2,105291,Bhadradri Kothagudem,Own,Car,1,56485,15918,Yes,Regularly Late,100.0,100.0,100.0,7.55,66.67,80.0,84.88,60.0,74.89,374.44,74.89
Gig Worker,Postgraduate,6.65,4,59100,Mahbubnagar,Rent,Car,2,20780,28203,No,Regularly Late,59.1,75.0,100.0,33.25,33.33,80.0,52.28,60.0,61.62,308.1,61.62
