employment_type,education_level,job_stability_years,family_dependents,monthly_income,district,house_ownership_status,vehicle_ownership,active_bank_accounts,average_monthly_expenses,existing_emi_burden,emergency_savings_availability,utility_bill_payment_regularity,repayment_percent,final_score
Labour,Primary,3.3,4,95628,Jagtial,Own,2W,3,45903,9013,Yes,Sometimes Late,59.43,297.15
Private,12th,15.4,2,20098,Siddipet,Rent,None,1,51999,5807,No,Rarely Paid,46.48,232.4
Trader,Primary,6.7,1,64765,Mahbubnagar,Family,2W,2,34845,42129,No,Regularly Late,59.1,295.5
Self-Employed,Postgraduate,15.6,5,72776,Siddipet,Family,None,2,46588,32751,No,Sometimes Late,63.12,315.6
Labour,12th,4.5,1,70995,Karimnagar,Own,2W,4,37342,36146,Yes,Rarely Paid,58.91,294.55
Other,Postgraduate,0.4,5,107000,Hyderabad,Family,Car,2,44010,20833,Yes,Sometimes Late,53.93,269.65
Other,Postgraduate,10.6,5,39256,Mahbubnagar,Rent,None,2,16890,43470,No,Rarely Paid,38.86,194.3
Government,Primary,4.5,2,100292,Kamareddy,Own,None,2,46108,11837,No,Rarely Paid,70.08,350.4
Government,Postgraduate,16.7,4,114268,Rangareddy,Own,2W,3,39718,12299,Yes,Always On Time,81.72,408.6
Private,10th,3.0,0,114143,Nalgonda,Family,Car,3,18343,45641,No,Sometimes Late,74.5,372.5
Student,Postgraduate,6.9,2,97017,Khammam,Rent,None,3,13246,3812,Yes,Rarely Paid,72.19,360.95
Trader,Postgraduate,8.2,1,57807,Mahbubnagar,Rent,Car,3,43867,2974,Yes,Regularly Late,57.87,289.35
Trader,12th,0.1,1,46904,Karimnagar,Own,Car,4,54765,30833,Yes,Regularly Late,40.27,201.35
Private,Postgraduate,19.2,4,22687,Bhadradri Kothagudem,Own,Car,1,33320,46661,Yes,Regularly Late,46.81,234.05
Labour,12th,2.8,0,99911,Mahabubabad,Rent,Car,2,45239,43951,Yes,Sometimes Late,74.16,370.8
Retired,10th,15.0,3,71683,Mahbubnagar,Rent,None,1,46234,28840,No,Rarely Paid,68.34,341.7
Other,Postgraduate,13.6,1,103839,Jagtial,Rent,Car,3,4743,42766,Yes,Always On Time,87.07,435.35
Student,Postgraduate,17.1,5,11759,Adilabad,Rent,None,3,39542,13001,Yes,Regularly Late,34.86,174.3
Other,Primary,11.5,2,112453,Kamareddy,Rent,Car,1,31969,26487,No,Rarely Paid,80.58,402.9
Unemployed,12th,11.2,0,60155,Mahbubnagar,Family,None,2,38704,21378,Yes,Always On Time,66.88,334.4
Labour,Graduate,3.6,0,54076,Jagtial,Family,Car,1,37852,34794,No,Always On Time,52.44,262.2
Gig Worker,12th,3.6,2,83598,Jagtial,Family,Car,4,5530,32879,No,Regularly Late,60.53,302.65
Student,Graduate,1.9,1,73745,Hyderabad,Own,Car,4,34804,33937,Yes,Always On Time,56.39,281.95
Labour,Postgraduate,19.0,2,66572,Hyderabad,Own,2W,2,59823,22934,No,Rarely Paid,75.12,375.6
Student,Graduate,17.1,4,71258,Bhadradri Kothagudem,Rent,2W,4,49078,29391,Yes,Sometimes Late,67.95,339.75
Farmer,Graduate,12.7,3,73067,Rangareddy,Family,Car,3,29421,34923,No,Rarely Paid,65.58,327.9
Student,10th,4.2,1,107881,Bhadradri Kothagudem,Rent,None,1,54820,3315,No,Sometimes Late,72.97,364.85
Labour,10th,10.7,2,84004,Nalgonda,Own,None,3,11900,9760,Yes,Regularly Late,71.39,356.95
Farmer,Graduate,8.8,1,110615,Bhadradri Kothagudem,Family,None,3,20604,42190,No,Always On Time,79.87,399.35
Student,Postgraduate,2.0,1,104768,Medchal,Family,None,2,38748,20697,Yes,Sometimes Late,69.67,348.35
Student,10th,17.0,1,39028,Adilabad,Rent,None,4,31410,42168,No,Sometimes Late,61.68,308.4
Trader,Primary,0.2,1,96640,Warangal,Family,None,1,22269,49419,Yes,Always On Time,65.29,326.45
Unemployed,12th,16.6,5,54749,Siddipet,Family,Car,1,7773,44873,No,Regularly Late,55.61,278.05
Private,Postgraduate,0.5,0,103565,Karimnagar,Own,None,2,21366,36328,No,Rarely Paid,70.75,353.75
Retired,Primary,3.8,1,61288,Rangareddy,Rent,Car,1,9380,34725,Yes,Sometimes Late,53.01,265.05
Self-Employed,Primary,5.2,2,42191,Adilabad,Rent,2W,1,7230,19823,No,Rarely Paid,42.23,211.15
Gig Worker,12th,17.1,5,58827,Mahabubabad,Family,Car,4,39891,41134,No,Sometimes Late,58.4,292.0
Gig Worker,Graduate,18.6,4,23017,Mahabubabad,Own,Car,2,46660,45307,No,Rarely Paid,46.08,230.4
Self-Employed,Postgraduate,11.7,3,96757,Karimnagar,Own,None,4,33502,17205,Yes,Always On Time,75.93,379.65
Unemployed,Primary,11.1,1,46374,Medak,Family,Car,3,13492,10801,Yes,Regularly Late,56.5,282.5
Labour,Primary,3.1,1,33609,Siddipet,Own,Car,4,38127,3202,No,Regularly Late,38.12,190.6
Student,12th,5.0,3,102379,Khammam,Rent,2W,1,25460,46790,Yes,Always On Time,67.5,337.5
Gig Worker,Postgraduate,17.3,3,105543,Adilabad,Rent,None,4,4938,33183,No,Regularly Late,85.95,429.75
Student,12th,5.5,0,69926,Nalgonda,Rent,Car,3,17249,45506,No,Regularly Late,63.21,316.05
Private,12th,19.2,2,101329,Bhadradri Kothagudem,Family,2W,4,58579,40492,Yes,Sometimes Late,92.13,460.65
Student,10th,16.7,0,50107,Jagtial,Own,None,2,45301,35128,Yes,Rarely Paid,70.1,350.5
Student,Postgraduate,17.6,5,118917,Nizamabad,Family,2W,1,30194,22319,No,Rarely Paid,79.73,398.65
Farmer,Postgraduate,7.6,4,11240,Siddipet,Rent,None,3,26329,20186,Yes,Regularly Late,23.69,118.45
Farmer,Primary,14.9,2,56491,Khammam,Family,None,4,46184,48851,No,Regularly Late,63.93,319.65
Other,10th,1.4,5,114516,Mahabubabad,Rent,None,3,4016,40468,Yes,Sometimes Late,55.43,277.15
Student,10th,11.0,2,84344,Mahbubnagar,Rent,Car,2,37819,11597,No,Always On Time,72.01,360.05
Government,Primary,9.0,1,118439,Jagtial,Family,2W,3,37061,43395,No,Rarely Paid,80.17,400.85
Self-Employed,Primary,4.8,3,75007,Mahbubnagar,Own,None,1,30528,22056,No,Sometimes Late,54.7,273.5
Farmer,12th,10.7,3,100217,Mahabubabad,Rent,2W,1,23844,25141,Yes,Sometimes Late,76.05,380.25
Unemployed,10th,12.5,2,33228,Medak,Family,2W,3,42756,17151,Yes,Regularly Late,48.7,243.5
Retired,Primary,13.9,3,68813,Siddipet,Rent,Car,3,5416,49736,No,Sometimes Late,65.26,326.3
Private,Postgraduate,1.0,0,49482,Medchal,Own,Car,2,39304,2745,No,Sometimes Late,46.24,231.2
Unemployed,10th,4.9,2,39412,Rangareddy,Rent,2W,3,32708,2387,No,Always On Time,40.39,201.95
Unemployed,Primary,5.9,4,53063,Nalgonda,Rent,2W,3,25544,10351,Yes,Sometimes Late,42.05,210.25
Government,12th,1.6,3,98548,Adilabad,Rent,Car,2,56941,37454,Yes,Always On Time,61.67,308.35
Student,Graduate,10.6,3,86809,Medchal,Own,None,1,59772,47428,No,Sometimes Late,69.3,346.5
Government,12th,2.6,0,50899,Medak,Own,2W,3,46245,48054,Yes,Rarely Paid,49.35,246.75
Gig Worker,10th,10.2,5,115687,Hyderabad,Family,2W,1,50533,14276,No,Always On Time,68.63,343.15
Student,Postgraduate,6.6,3,46951,Mahbubnagar,Family,2W,3,46377,40722,Yes,Sometimes Late,43.38,216.9
Gig Worker,12th,2.5,3,61789,Hyderabad,Rent,2W,1,52701,10239,Yes,Sometimes Late,44.64,223.2
Self-Employed,Primary,5.5,1,8882,Karimnagar,Rent,None,4,3315,576,No,Sometimes Late,29.36,146.8
Student,10th,10.9,1,42603,Jagtial,Rent,2W,4,37699,19655,Yes,Always On Time,54.32,271.6
Government,12th,11.2,4,14485,Mahbubnagar,Own,None,3,12581,35661,No,Always On Time,30.71,153.55
Gig Worker,Primary,3.0,2,82919,Karimnagar,Family,2W,4,11547,9638,No,Always On Time,59.29,296.45
Retired,10th,12.3,2,13213,Hyderabad,Rent,None,3,29703,29026,Yes,Rarely Paid,38.39,191.95
Government,Postgraduate,19.4,2,86966,Nizamabad,Family,None,3,59962,9142,Yes,Rarely Paid,85.92,429.6
Gig Worker,12th,16.1,4,79755,Siddipet,Rent,None,2,37913,33331,No,Sometimes Late,70.69,353.45
Trader,10th,5.0,4,48241,Nalgonda,Family,Car,2,26083,42558,Yes,Always On Time,38.29,191.45
Gig Worker,Primary,15.5,4,79706,Nizamabad,Rent,None,3,15773,16146,No,Always On Time,69.77,348.85
Other,12th,3.5,5,14864,Mahabubabad,Family,Car,3,31507,23239,No,Sometimes Late,16.02,80.1
Other,12th,14.6,2,107716,Adilabad,Rent,2W,2,13089,46260,Yes,Regularly Late,85.23,426.15
Labour,10th,3.4,5,106747,Khammam,Family,2W,2,54445,5348,Yes,Always On Time,58.43,292.15
Private,Primary,7.0,4,48415,Nalgonda,Rent,Car,1,38474,49345,No,Rarely Paid,41.37,206.85
Unemployed,12th,0.5,0,95650,Kamareddy,Family,2W,2,4715,9725,Yes,Always On Time,68.58,342.9
Unemployed,Postgraduate,14.6,2,25608,Nalgonda,Family,Car,3,54517,7549,No,Rarely Paid,48.04,240.2
Retired,Primary,7.3,5,97844,Mahabubabad,Family,2W,4,6513,1548,Yes,Regularly Late,63.21,316.05
Other,10th,8.5,3,66666,Nalgonda,Family,None,1,23560,18698,No,Rarely Paid,56.08,280.4
Farmer,10th,19.4,2,16653,Mahabubabad,Rent,None,2,40363,26,No,Always On Time,50.76,253.8
Private,10th,19.2,5,94830,Medak,Own,Car,1,4135,33712,No,Sometimes Late,79.55,397.75
Trader,10th,12.4,5,112726,Rangareddy,Family,Car,1,55533,29003,No,Sometimes Late,71.93,359.65
Trader,10th,13.6,1,27095,Kamareddy,Rent,2W,1,30413,22040,Yes,Regularly Late,50.61,253.05
Government,12th,17.9,5,103633,Khammam,Rent,Car,1,30274,24791,No,Always On Time,80.18,400.9
Farmer,Primary,6.9,0,19326,Mahabubabad,Rent,2W,4,33413,17507,Yes,Always On Time,40.01,200.05
Other,Postgraduate,16.5,2,102552,Medak,Rent,None,2,49130,540,No,Regularly Late,88.08,440.4
Farmer,10th,17.9,5,116598,Warangal,Own,None,1,6735,37793,No,Sometimes Late,80.18,400.9
Gig Worker,Postgraduate,19.5,3,90518,Hyderabad,Family,None,4,44273,16926,Yes,Sometimes Late,84.51,422.55
Other,Graduate,5.0,3,19077,Siddipet,Own,Car,4,43141,46049,No,Regularly Late,27.04,135.2
Retired,Postgraduate,14.4,2,28280,Siddipet,Own,2W,1,34944,29528,No,Regularly Late,49.07,245.35
Labour,12th,3.0,1,63623,Adilabad,Own,2W,2,9625,33662,Yes,Rarely Paid,52.98,264.9
Student,Postgraduate,1.4,5,35430,Medchal,Rent,2W,3,51786,10719,No,Regularly Late,23.15,115.75
Unemployed,10th,15.0,4,38539,Rangareddy,Family,None,1,32972,25810,No,Always On Time,48.44,242.2
Other,Postgraduate,10.1,1,26849,Hyderabad,Own,None,4,22357,4023,Yes,Regularly Late,45.24,226.2
Self-Employed,Primary,9.5,2,25456,Nalgonda,Family,None,4,47200,26632,Yes,Rarely Paid,40.31,201.55
Self-Employed,Postgraduate,4.5,2,95160,Medchal,Rent,2W,4,7562,14756,Yes,Rarely Paid,67.66,338.3
Private,Graduate,5.1,2,17534,Mancherial,Rent,2W,3,40665,48653,No,Regularly Late,29.75,148.75
Trader,10th,5.2,0,40363,Hyderabad,Family,Car,4,19582,42449,No,Always On Time,47.98,239.9
Gig Worker,Primary,5.3,1,74519,Mahbubnagar,Rent,Car,2,26090,22227,Yes,Sometimes Late,61.88,309.4
Student,10th,14.6,2,21674,Karimnagar,Family,None,2,41906,36251,Yes,Always On Time,46.07,230.35
Private,Postgraduate,8.3,1,90808,Medak,Own,None,2,10170,8218,No,Regularly Late,74.52,372.6
Farmer,12th,1.4,5,55100,Medchal,Rent,2W,3,3616,6369,No,Regularly Late,32.98,164.9
Private,10th,19.8,2,41691,Jagtial,Own,2W,3,14318,41447,No,Regularly Late,63.88,319.4
Government,12th,13.0,3,29178,Mahbubnagar,Own,Car,2,36070,11587,Yes,Sometimes Late,44.09,220.45
Farmer,12th,3.3,0,92154,Mahbubnagar,Rent,Car,4,40619,36420,Yes,Always On Time,71.03,355.15
Student,12th,17.9,4,39839,Bhadradri Kothagudem,Family,None,1,19871,26268,No,Always On Time,53.44,267.2
Government,10th,15.0,4,45511,Bhadradri Kothagudem,Rent,Car,2,12953,5419,Yes,Always On Time,51.92,259.6
Private,Postgraduate,3.3,0,57789,Siddipet,Family,Car,2,58171,46493,Yes,Always On Time,53.84,269.2
Self-Employed,Postgraduate,13.3,4,89763,Mancherial,Own,2W,1,29324,13510,Yes,Rarely Paid,71.5,357.5
Labour,Postgraduate,15.2,2,94636,Medchal,Family,None,4,30024,43291,Yes,Rarely Paid,83.45,417.25
Other,Primary,6.0,0,33800,Mahabubabad,Rent,Car,3,18894,33569,Yes,Regularly Late,45.9,229.5
Student,Postgraduate,12.1,2,45528,Medchal,Family,None,1,17054,45198,Yes,Always On Time,54.25,271.25
Trader,Postgraduate,3.6,1,61106,Jagtial,Family,2W,4,33691,8323,No,Always On Time,52.62,263.1
Student,Postgraduate,10.5,2,109498,Adilabad,Rent,None,1,55847,39642,No,Regularly Late,79.08,395.4
Labour,Primary,2.8,3,50387,Nalgonda,Rent,Car,1,49868,24780,No,Regularly Late,39.39,196.95
Other,12th,4.3,5,102082,Jagtial,Rent,2W,3,44249,47542,No,Regularly Late,59.78,298.9
Self-Employed,Primary,13.3,2,44933,Rangareddy,Rent,None,2,20298,27545,Yes,Always On Time,55.75,278.75
Gig Worker,10th,0.2,0,20687,Mahbubnagar,Own,2W,3,27018,2188,Yes,Sometimes Late,30.64,153.2
Private,Primary,18.5,5,115447,Khammam,Family,Car,3,56999,16688,Yes,Rarely Paid,81.08,405.4
Trader,Primary,11.6,4,39804,Bhadradri Kothagudem,Own,2W,1,32451,20303,No,Rarely Paid,43.97,219.85
Student,Primary,7.6,1,58280,Adilabad,Own,Car,3,4845,35015,Yes,Regularly Late,57.21,286.05
Unemployed,Primary,1.7,5,61354,Warangal,Rent,Car,3,17933,6637,Yes,Rarely Paid,36.56,182.8
Other,10th,16.9,2,97148,Medak,Family,Car,4,30372,35864,Yes,Regularly Late,87.26,436.3
Trader,Postgraduate,5.2,4,18918,Medak,Rent,2W,1,54895,15226,No,Regularly Late,23.93,119.65
Gig Worker,Postgraduate,9.6,0,11938,Rangareddy,Family,2W,1,58939,10569,No,Rarely Paid,40.37,201.85
Unemployed,10th,7.1,0,12599,Nalgonda,Own,Car,4,16669,19541,Yes,Rarely Paid,36.95,184.75
Private,12th,7.5,4,96686,Khammam,Family,2W,4,35440,19424,No,Sometimes Late,66.26,331.3
Retired,12th,12.0,2,118900,Kamareddy,Family,2W,3,57732,1908,No,Sometimes Late,81.33,406.65
Government,10th,2.1,4,79671,Kamareddy,Rent,Car,2,28301,23880,No,Sometimes Late,49.65,248.25
Government,10th,5.2,1,16986,Mancherial,Family,None,2,15026,7115,No,Regularly Late,32.96,164.8
Student,Postgraduate,1.8,0,44191,Nizamabad,Family,2W,2,47779,30021,Yes,Rarely Paid,44.8,224.0
Gig Worker,Graduate,9.3,5,76657,Mahbubnagar,Family,None,3,58020,15154,No,Rarely Paid,55.61,278.05
Private,Postgraduate,19.4,4,12014,Siddipet,Rent,2W,3,40923,3198,Yes,Rarely Paid,41.77,208.85
Gig Worker,Postgraduate,3.9,0,9767,Nizamabad,Rent,2W,4,18665,11393,Yes,Regularly Late,30.73,153.65
Labour,Postgraduate,6.4,4,85938,Bhadradri Kothagudem,Own,None,3,28243,12324,Yes,Sometimes Late,59.24,296.2
Trader,12th,19.5,3,62405,Kamareddy,Rent,2W,2,23319,34748,Yes,Regularly Late,70.45,352.25
Other,Graduate,0.1,3,115988,Nalgonda,Own,None,4,19157,29344,No,Always On Time,60.15,300.75
Gig Worker,10th,17.9,1,40189,Mahabubabad,Rent,2W,1,53899,32688,No,Always On Time,63.61,318.05
Private,Primary,9.7,5,42118,Adilabad,Own,Car,4,25360,15923,No,Always On Time,38.94,194.7
Unemployed,12th,18.5,5,60024,Nizamabad,Family,None,3,53453,19140,No,Rarely Paid,61.1,305.5
Other,Graduate,15.5,4,83671,Kamareddy,Rent,None,3,20460,8798,Yes,Regularly Late,71.75,358.75
Student,10th,9.6,0,117880,Mahabubabad,Rent,2W,2,12180,23703,No,Always On Time,84.4,422.0
Trader,12th,17.5,0,92575,Medak,Own,2W,3,13780,32277,No,Rarely Paid,92.54,462.7
Farmer,Postgraduate,15.1,1,76186,Kamareddy,Family,None,3,14632,4217,No,Regularly Late,77.41,387.05
Retired,Graduate,4.3,1,74836,Nizamabad,Family,2W,2,21237,25388,No,Sometimes Late,60.53,302.65
Self-Employed,Primary,11.9,3,9103,Mahabubabad,Family,None,4,40231,41536,Yes,Sometimes Late,32.4,162.0
Trader,Postgraduate,3.2,5,20620,Warangal,Own,Car,1,20383,36335,Yes,Sometimes Late,18.44,92.2
Retired,Primary,2.4,0,90096,Medchal,Rent,2W,4,59426,3335,No,Rarely Paid,68.65,343.25
Unemployed,12th,0.8,3,50295,Rangareddy,Own,2W,1,55262,11111,No,Rarely Paid,36.35,181.75
Private,Primary,0.5,5,40540,Nalgonda,Rent,None,4,20014,46800,Yes,Rarely Paid,24.35,121.75
Government,Primary,15.3,1,43777,Warangal,Rent,Car,1,29239,17040,No,Always On Time,61.51,307.55
Labour,12th,3.6,4,46432,Jagtial,Family,None,2,31674,43701,No,Always On Time,35.28,176.4
Private,Postgraduate,12.4,4,38366,Karimnagar,Rent,Car,2,30827,15829,No,Regularly Late,44.45,222.25
Gig Worker,10th,8.4,0,104257,Adilabad,Family,Car,4,7234,31303,No,Rarely Paid,82.6,413.0
Self-Employed,10th,17.3,2,49744,Jagtial,Own,None,3,57457,9052,No,Always On Time,64.16,320.8
Retired,Postgraduate,17.4,5,106933,Mancherial,Own,None,2,10787,24274,No,Sometimes Late,79.43,397.15
Unemployed,Graduate,19.4,2,28662,Nalgonda,Own,None,1,54199,39726,No,Always On Time,56.76,283.8
Private,10th,8.0,4,106853,Nalgonda,Own,None,4,34922,748,No,Regularly Late,68.67,343.35
Farmer,12th,12.9,1,68214,Kamareddy,Rent,2W,2,58102,16539,Yes,Regularly Late,70.12,350.6
Other,10th,8.5,3,114264,Mahbubnagar,Family,Car,2,5780,42834,No,Regularly Late,72.75,363.75
Unemployed,10th,3.4,5,96019,Mahbubnagar,Rent,Car,3,54232,21775,Yes,Rarely Paid,56.44,282.2
Student,Primary,12.8,5,10890,Khammam,Rent,Car,3,21227,41026,Yes,Always On Time,27.98,139.9
Retired,10th,0.5,1,37099,Rangareddy,Own,2W,1,8792,13142,No,Sometimes Late,35.97,179.85
Self-Employed,Primary,14.2,0,77441,Khammam,Rent,2W,3,4743,49106,Yes,Regularly Late,80.02,400.1
Trader,Graduate,14.0,4,83774,Siddipet,Rent,Car,2,51835,9894,No,Sometimes Late,69.55,347.75
Labour,Graduate,16.5,3,88748,Khammam,Family,None,4,45838,23803,No,Always On Time,79.12,395.6
Retired,Primary,14.3,5,79443,Nalgonda,Family,2W,1,15025,14196,No,Regularly Late,64.5,322.5
Trader,Postgraduate,4.8,4,51685,Warangal,Family,2W,1,58847,46665,No,Sometimes Late,39.71,198.55
Self-Employed,Postgraduate,19.7,2,116329,Medchal,Own,Car,1,43056,18282,Yes,Always On Time,92.88,464.4
Labour,10th,1.7,1,56583,Mancherial,Family,None,1,25272,27181,Yes,Rarely Paid,47.51,237.55
Other,12th,17.1,5,33597,Mahabubabad,Family,2W,4,46993,16682,No,Rarely Paid,45.78,228.9
Labour,Postgraduate,7.2,5,69023,Warangal,Rent,2W,3,15625,2783,Yes,Sometimes Late,48.64,243.2
Gig Worker,Graduate,8.2,3,105378,Warangal,Own,Car,1,37122,35983,No,Always On Time,72.3,361.5
Government,12th,3.1,4,42948,Jagtial,Rent,None,2,31550,6139,No,Always On Time,32.79,163.95
Farmer,Primary,18.3,3,56171,Khammam,Own,2W,4,14464,16809,No,Always On Time,65.54,327.7
Unemployed,Primary,12.3,5,17927,Medak,Family,Car,1,17340,24768,No,Always On Time,30.75,153.75
Self-Employed,10th,16.4,1,117029,Medchal,Own,Car,3,24002,9465,No,Regularly Late,91.27,456.35
Student,Postgraduate,3.6,2,39567,Nizamabad,Own,None,4,58472,33089,Yes,Sometimes Late,38.52,192.6
Unemployed,10th,0.1,0,106179,Nalgonda,Rent,None,4,38052,33939,Yes,Rarely Paid,70.15,350.75
Farmer,Primary,9.5,0,16174,Jagtial,Own,2W,4,30043,39474,Yes,Regularly Late,42.34,211.7
Gig Worker,10th,2.8,4,30347,Karimnagar,Rent,Car,1,59378,9273,Yes,Rarely Paid,26.04,130.2
Other,12th,18.2,4,49335,Warangal,Rent,None,4,19148,11410,Yes,Regularly Late,58.63,293.15
Unemployed,Primary,11.4,4,23213,Nizamabad,Family,Car,4,35679,49685,Yes,Always On Time,35.37,176.85
Private,Postgraduate,3.3,3,85657,Mancherial,Family,None,2,4405,8571,No,Rarely Paid,57.78,288.9
Retired,Primary,1.1,4,61968,Rangareddy,Own,Car,4,25610,42255,No,Rarely Paid,39.3,196.5
Gig Worker,10th,16.1,2,35045,Nalgonda,Rent,Car,3,16943,45831,No,Always On Time,55.01,275.05
Private,Graduate,13.7,1,63940,Medchal,Family,None,4,26329,48117,No,Regularly Late,69.19,345.95
Trader,Postgraduate,4.0,1,89881,Hyderabad,Family,Car,3,52154,47824,Yes,Always On Time,67.61,338.05
Government,Postgraduate,8.6,2,11247,Mahabubabad,Family,2W,3,43047,29010,No,Regularly Late,31.86,159.3
Private,Graduate,0.9,5,46719,Khammam,Rent,2W,1,15889,40702,No,Regularly Late,28.04,140.2
Private,Primary,11.5,3,110459,Jagtial,Rent,2W,3,57848,31342,Yes,Regularly Late,77.25,386.25
Retired,12th,6.8,5,33529,Kamareddy,Family,Car,3,15870,8541,Yes,Rarely Paid,30.3,151.5
Labour,Primary,5.7,1,14016,Siddipet,Family,2W,2,54975,33003,No,Rarely Paid,32.22,161.1
Retired,Postgraduate,5.1,0,12665,Jagtial,Rent,2W,1,30201,24847,No,Rarely Paid,33.98,169.9
Student,10th,1.1,4,89639,Hyderabad,Rent,Car,4,27431,35033,No,Rarely Paid,53.14,265.7
Unemployed,10th,15.2,1,32549,Karimnagar,Own,None,1,49552,46455,No,Regularly Late,55.74,278.7
Trader,Graduate,3.6,4,99860,Hyderabad,Own,Car,1,39435,15009,No,Always On Time,62.0,310.0
Self-Employed,12th,2.4,2,16719,Mahbubnagar,Own,Car,1,57056,19260,No,Sometimes Late,25.29,126.45
Farmer,12th,8.4,1,8774,Adilabad,Family,None,2,48890,13741,Yes,Rarely Paid,33.65,168.25
Unemployed,10th,7.1,0,85765,Mahbubnagar,Rent,Car,2,14796,27341,No,Regularly Late,73.53,367.65
Unemployed,12th,5.1,2,119222,Medchal,Family,Car,2,18135,15258,No,Rarely Paid,70.98,354.9
Labour,Primary,6.8,0,104153,Khammam,Family,Car,1,21411,4403,No,Always On Time,80.2,401.0
Private,10th,17.8,1,44889,Nizamabad,Rent,None,4,16359,45419,Yes,Regularly Late,65.81,329.05
Student,12th,8.6,1,40318,Rangareddy,Rent,Car,1,14967,25675,No,Sometimes Late,49.73,248.65
Trader,Primary,14.4,2,63929,Medak,Rent,Car,2,46972,207,No,Sometimes Late,66.9,334.5
Private,Postgraduate,8.8,2,73804,Medchal,Own,None,3,37602,8540,No,Sometimes Late,63.44,317.2
Trader,12th,2.1,5,81753,Medchal,Own,2W,2,16903,39937,No,Regularly Late,47.36,236.8
Labour,10th,11.9,1,31301,Mahabubabad,Family,Car,2,50424,21914,Yes,Always On Time,50.17,250.85
Private,Graduate,11.7,2,83709,Nizamabad,Rent,2W,3,44963,4219,No,Always On Time,72.74,363.7
Unemployed,Postgraduate,7.3,2,36953,Adilabad,Own,2W,1,25139,30490,Yes,Sometimes Late,42.76,213.8
Private,Primary,1.2,3,73351,Bhadradri Kothagudem,Family,2W,2,59980,9990,No,Sometimes Late,48.48,242.4
Government,Graduate,7.8,0,26703,Medchal,Family,Car,4,26712,20851,Yes,Rarely Paid,45.05,225.25
Farmer,Primary,15.9,0,40725,Bhadradri Kothagudem,Own,Car,1,50605,35717,No,Always On Time,64.21,321.05
Private,12th,1.4,1,91865,Jagtial,Rent,None,4,51380,8735,Yes,Sometimes Late,64.7,323.5
Farmer,10th,16.2,2,22827,Mahabubabad,Own,Car,1,44077,5002,Yes,Regularly Late,49.05,245.25
Trader,Graduate,19.2,0,101854,Jagtial,Rent,None,1,57493,49696,No,Sometimes Late,98.8,494.0
Private,12th,10.8,0,111321,Warangal,Family,2W,1,50651,22005,Yes,Sometimes Late,86.2,431.0
Student,Postgraduate,19.2,4,118952,Nizamabad,Family,Car,4,32291,15218,No,Sometimes Late,85.47,427.35
Unemployed,12th,10.4,3,71895,Medchal,Rent,None,3,26073,1621,Yes,Rarely Paid,61.55,307.75
Private,Graduate,14.0,0,116601,Khammam,Own,2W,1,57796,35163,Yes,Rarely Paid,91.0,455.0
Gig Worker,Postgraduate,8.5,2,63132,Nizamabad,Rent,None,2,27446,41667,No,Regularly Late,57.65,288.25
Trader,10th,17.5,1,14474,Kamareddy,Family,2W,1,59560,15301,Yes,Sometimes Late,50.15,250.75
Government,10th,18.2,5,95204,Warangal,Family,None,2,15420,32666,Yes,Rarely Paid,78.24,391.2
Government,Postgraduate,16.8,3,71752,Mahbubnagar,Rent,None,1,18910,13167,No,Always On Time,71.08,355.4
Labour,Postgraduate,9.7,2,15070,Rangareddy,Rent,Car,3,13332,5385,Yes,Rarely Paid,35.42,177.1
Gig Worker,Postgraduate,4.1,2,65514,Adilabad,Own,2W,2,57541,41393,No,Rarely Paid,52.24,261.2
Farmer,Postgraduate,16.8,4,101236,Nizamabad,Own,Car,1,37447,35136,Yes,Sometimes Late,81.87,409.35
Gig Worker,Postgraduate,4.9,1,42776,Nalgonda,Family,Car,2,30064,13759,Yes,Regularly Late,45.4,227.0
Self-Employed,Primary,1.5,0,97538,Hyderabad,Rent,Car,1,32380,42966,No,Sometimes Late,71.02,355.1
Trader,Primary,2.3,2,98492,Medchal,Family,2W,3,22834,30717,No,Regularly Late,66.03,330.15
Other,Primary,5.9,5,113776,Bhadradri Kothagudem,Own,None,1,16692,38905,Yes,Sometimes Late,62.18,310.9
Labour,Postgraduate,8.2,5,93409,Mahabubabad,Rent,2W,4,53289,16827,Yes,Regularly Late,62.34,311.7
Private,Postgraduate,9.3,0,37462,Kamareddy,Family,2W,4,30830,24275,No,Sometimes Late,52.68,263.4
Retired,12th,1.2,5,12333,Khammam,Rent,Car,1,45511,18397,Yes,Sometimes Late,11.3,56.5
Retired,Graduate,10.9,1,27808,Bhadradri Kothagudem,Own,2W,4,6214,18487,No,Sometimes Late,46.92,234.6
Gig Worker,Postgraduate,13.2,4,91569,Hyderabad,Rent,2W,1,4912,38947,Yes,Always On Time,72.25,361.25
Self-Employed,10th,4.8,0,25899,Kamareddy,Rent,Car,2,58724,23383,No,Sometimes Late,40.15,200.75
Self-Employed,12th,15.9,3,111845,Rangareddy,Own,Car,3,5324,24641,No,Always On Time,83.85,419.25
Other,Graduate,14.5,3,33551,Mahabubabad,Own,None,3,42199,29589,No,Regularly Late,48.53,242.65
Student,10th,2.1,0,34310,Kamareddy,Family,None,2,57051,18444,Yes,Always On Time,40.3,201.5
Gig Worker,Primary,2.5,0,95070,Hyderabad,Family,Car,1,22110,18494,Yes,Sometimes Late,71.28,356.4
