employment_type,education_level,job_stability_years,family_dependents,monthly_income,district,house_ownership_status,vehicle_ownership,active_bank_accounts,average_monthly_expenses,existing_emi_burden,emergency_savings_availability,utility_bill_payment_regularity,repayment_percent,final_score
Farmer,Postgraduate,2.79,1,117011,Adilabad,Own,Car,4,38223,25470,Yes,Rarely Paid,70.85,334.25
Labour,Graduate,5.71,3,38892,Kamareddy,Rent,Car,2,44116,42142,No,Regularly Late,38.01,179.05
Government,Graduate,4.14,2,88622,Medak,Family,Car,4,22139,496,No,Rarely Paid,63.85,311.25
Government,Graduate,17.52,5,59805,Medak,Own,Car,1,41930,28586,Yes,Rarely Paid,59.52,303.6
Labour,Primary,17.83,2,35404,Medchal,Rent,2W,4,25120,29308,Yes,Rarely Paid,57.78,273.9
Trader,10th,5.47,5,16893,Bhadradri Kothagudem,Family,2W,1,58722,20676,Yes,Always On Time,19.98,93.9
Unemployed,12th,4.71,1,84051,Rangareddy,Own,Car,3,38637,29896,Yes,Sometimes Late,65.76,326.8
Trader,Graduate,13.25,4,25867,Mancherial,Family,None,1,9813,45988,Yes,Sometimes Late,39.48,186.4
Gig Worker,12th,5.54,1,108034,Rangareddy,Family,None,2,44597,19077,No,Always On Time,74.98,396.9
Farmer,Primary,15.29,2,58897,Khammam,Rent,None,4,25884,42342,No,Regularly Late,65.72,309.6
Farmer,12th,9.05,5,9574,Rangareddy,Own,2W,1,14151,6940,Yes,Sometimes Late,21.7,103.5
Trader,12th,19.14,2,18572,Jagtial,Own,2W,4,14062,27437,Yes,Rarely Paid,51.33,272.65
Government,Graduate,16.74,4,66904,Nalgonda,Rent,Car,1,57656,43676,Yes,Sometimes Late,65.23,326.15
Unemployed,Graduate,16.03,2,105719,Karimnagar,Family,Car,3,46773,8979,No,Always On Time,87.38,454.9
Labour,Postgraduate,13.87,5,16153,Rangareddy,Own,Car,1,3741,49284,No,Always On Time,32.21,149.05
Gig Worker,Primary,6.82,5,107965,Mahbubnagar,Own,Car,4,37011,30632,No,Sometimes Late,63.56,328.8
Farmer,12th,19.61,2,90614,Mahbubnagar,Rent,2W,4,45168,33056,No,Sometimes Late,88.06,435.3
Trader,12th,2.58,3,58549,Warangal,Family,2W,1,3634,20171,No,Rarely Paid,43.14,207.7
Farmer,12th,14.87,3,13231,Bhadradri Kothagudem,Own,2W,4,16321,41993,Yes,Regularly Late,38.92,173.6
Farmer,12th,2.9,1,97816,Medchal,Own,2W,2,47336,23893,No,Always On Time,69.92,326.6
Unemployed,Primary,0.85,0,70413,Warangal,Family,2W,4,53374,29601,Yes,Sometimes Late,56.48,279.4
Labour,Primary,18.82,5,74997,Hyderabad,Family,2W,4,55749,4674,Yes,Always On Time,69.06,345.3
Unemployed,Primary,9.58,4,64074,Khammam,Family,None,1,17112,18811,Yes,Always On Time,53.07,276.35
Gig Worker,Graduate,5.55,1,96704,Nalgonda,Family,2W,1,58721,29027,Yes,Regularly Late,73.34,364.7
Unemployed,Postgraduate,1.24,3,10283,Jagtial,Own,2W,3,57198,48840,No,Sometimes Late,17.0,108.0
Unemployed,Postgraduate,18.06,1,12630,Kamareddy,Family,2W,4,14012,6427,No,Sometimes Late,50.07,243.35
Farmer,Postgraduate,11.67,4,101230,Khammam,Own,None,4,35762,39647,No,Rarely Paid,74.17,369.85
Farmer,Primary,11.35,3,100036,Medak,Own,Car,4,47983,15329,No,Rarely Paid,77.03,380.15
Gig Worker,10th,18.51,3,102538,Mahbubnagar,Family,Car,1,46315,33347,No,Rarely Paid,87.76,424.8
Unemployed,12th,15.35,5,41975,Medak,Rent,Car,3,12986,17191,No,Always On Time,47.35,251.75
Labour,Primary,0.97,1,85609,Siddipet,Family,Car,1,12419,28129,Yes,Sometimes Late,60.93,311.65
Trader,Postgraduate,12.54,4,51565,Hyderabad,Own,2W,1,23805,37622,Yes,Sometimes Late,51.26,280.3
Unemployed,Postgraduate,16.66,3,78327,Jagtial,Own,None,4,42029,16674,Yes,Always On Time,74.15,348.75
Gig Worker,Graduate,9.06,4,78279,Mancherial,Family,2W,4,11726,41187,Yes,Always On Time,59.4,313.0
Farmer,Postgraduate,3.2,2,38773,Khammam,Family,2W,2,21870,9972,No,Always On Time,37.52,168.6
Farmer,Postgraduate,7.33,2,85356,Medak,Own,Car,4,28279,4583,Yes,Sometimes Late,67.01,331.05
Unemployed,Graduate,14.7,0,75246,Jagtial,Rent,2W,2,22465,22233,Yes,Sometimes Late,79.67,405.35
Government,Primary,7.03,0,17488,Rangareddy,Family,None,2,40677,5429,No,Always On Time,39.29,187.45
Unemployed,Graduate,9.49,1,54625,Bhadradri Kothagudem,Rent,2W,2,21112,38787,Yes,Regularly Late,58.21,289.05
Government,Primary,6.95,0,69862,Mancherial,Own,Car,3,39840,46999,Yes,Always On Time,65.36,334.8
Farmer,Graduate,16.93,1,23473,Medak,Rent,2W,2,12577,31362,No,Rarely Paid,53.8,271.0
Labour,Primary,7.37,5,69654,Kamareddy,Rent,Car,3,55710,24651,No,Always On Time,49.22,263.1
Trader,Postgraduate,17.82,1,45103,Siddipet,Own,2W,1,30333,38303,No,Sometimes Late,65.95,344.75
Trader,12th,0.33,3,69185,Mancherial,Own,None,3,18904,38842,No,Rarely Paid,45.09,238.45
Trader,Primary,0.93,3,67294,Khammam,Own,None,2,22948,47863,Yes,Sometimes Late,45.04,221.2
Unemployed,Graduate,10.42,3,32647,Adilabad,Own,2W,4,30992,18113,No,Regularly Late,41.95,232.75
Unemployed,Graduate,17.59,2,46850,Mancherial,Rent,Car,1,6505,22728,Yes,Always On Time,63.14,306.7
Government,12th,1.01,0,8556,Medchal,Own,2W,3,34553,4066,Yes,Rarely Paid,25.79,136.95
Gig Worker,10th,15.13,1,18408,Mahbubnagar,Family,None,1,34280,42046,Yes,Sometimes Late,48.57,222.85
Unemployed,Postgraduate,8.46,4,76977,Medchal,Own,2W,3,53208,35226,Yes,Rarely Paid,57.85,309.25
Gig Worker,Primary,10.97,0,44095,Jagtial,Own,Car,2,34539,38105,No,Always On Time,58.5,272.5
Gig Worker,Postgraduate,14.96,0,15629,Kamareddy,Rent,2W,2,31319,22015,Yes,Rarely Paid,50.25,259.25
Labour,Graduate,4.08,2,60710,Mahabubabad,Own,2W,3,49369,45161,No,Always On Time,49.81,224.05
Government,Graduate,19.62,2,40211,Jagtial,Rent,2W,2,5571,11626,Yes,Always On Time,62.87,298.35
Gig Worker,Graduate,18.4,1,105498,Mahbubnagar,Rent,2W,1,20646,42933,Yes,Regularly Late,94.27,466.35
Trader,12th,13.3,1,69287,Nalgonda,Rent,None,1,13524,26349,Yes,Rarely Paid,71.26,335.3
Trader,Graduate,18.51,1,40689,Medak,Family,None,3,3940,43913,Yes,Regularly Late,64.78,299.9
Government,Primary,6.06,0,104406,Khammam,Own,2W,1,37016,12699,No,Always On Time,79.09,391.45
Gig Worker,10th,10.52,2,113065,Karimnagar,Rent,Car,2,30350,9180,Yes,Always On Time,79.11,417.55
Gig Worker,Postgraduate,4.67,1,73659,Mahbubnagar,Rent,None,3,11195,48921,No,Regularly Late,60.5,278.5
Farmer,Postgraduate,16.05,4,59478,Mahabubabad,Family,Car,2,54056,47894,Yes,Sometimes Late,60.48,286.4
Gig Worker,Graduate,11.83,3,52053,Karimnagar,Rent,None,3,49066,42601,No,Rarely Paid,53.77,276.85
Labour,10th,10.91,5,77037,Mahbubnagar,Own,2W,4,43941,48270,Yes,Rarely Paid,58.22,281.1
Government,12th,10.57,1,67337,Kamareddy,Own,None,3,39417,19462,No,Sometimes Late,66.19,352.95
Unemployed,10th,6.0,1,81342,Jagtial,Family,Car,1,26230,2217,Yes,Regularly Late,66.34,344.7
Farmer,Primary,3.06,1,18177,Rangareddy,Family,None,1,57045,47203,Yes,Rarely Paid,30.35,147.75
Trader,12th,17.45,0,102974,Medak,Family,None,4,18605,38069,No,Regularly Late,96.17,466.85
Unemployed,12th,18.53,3,71561,Karimnagar,Own,None,4,11937,12263,No,Rarely Paid,73.58,365.9
Unemployed,12th,0.27,1,108744,Karimnagar,Own,2W,1,59283,46333,Yes,Always On Time,67.07,356.35
Unemployed,Postgraduate,4.66,3,86853,Adilabad,Family,2W,3,55226,20145,Yes,Sometimes Late,60.42,316.1
Gig Worker,10th,13.27,2,90131,Karimnagar,Own,Car,1,17337,40676,Yes,Regularly Late,78.3,403.5
Labour,Graduate,5.94,4,37076,Kamareddy,Family,None,1,45067,41734,Yes,Rarely Paid,34.11,154.55
Trader,Postgraduate,5.44,1,111837,Mahbubnagar,Rent,None,4,28672,17850,No,Regularly Late,74.83,383.15
Government,10th,17.83,0,115470,Adilabad,Own,Car,4,30812,37994,No,Sometimes Late,96.74,500.0
Trader,10th,5.17,1,56267,Mahabubabad,Own,None,3,16696,27704,No,Regularly Late,52.56,268.8
Government,12th,7.58,0,62230,Khammam,Family,2W,3,8008,28190,Yes,Sometimes Late,62.48,293.4
Labour,Postgraduate,5.41,3,93592,Mahbubnagar,Own,None,4,40956,34432,No,Sometimes Late,64.91,319.55
Farmer,Primary,3.5,5,83788,Bhadradri Kothagudem,Family,None,2,33975,1537,No,Rarely Paid,50.48,246.4
Farmer,Graduate,6.6,1,45721,Kamareddy,Rent,Car,1,3042,18129,Yes,Rarely Paid,49.43,247.15
Unemployed,Graduate,11.12,4,49300,Nizamabad,Family,None,2,22438,25940,Yes,Regularly Late,48.0,218.0
Labour,Postgraduate,15.65,4,28759,Mahbubnagar,Family,None,3,4555,48113,Yes,Always On Time,44.52,242.6
Trader,Graduate,12.61,4,81132,Jagtial,Family,Car,2,17568,41117,No,Rarely Paid,66.15,326.75
Unemployed,10th,6.35,4,85957,Khammam,Rent,None,4,22424,5936,No,Regularly Late,59.17,284.85
Farmer,10th,14.75,1,14102,Karimnagar,Family,None,1,35764,46681,No,Rarely Paid,45.84,243.2
Labour,Primary,12.17,3,65760,Nalgonda,Family,2W,1,43790,45492,Yes,Always On Time,61.13,300.65
Gig Worker,10th,7.85,0,28278,Nizamabad,Own,Car,3,12602,18421,No,Regularly Late,45.91,218.55
Unemployed,Primary,13.08,4,26871,Rangareddy,Own,2W,2,17872,41667,No,Always On Time,39.72,194.6
Labour,Postgraduate,3.41,4,26384,Nalgonda,Rent,2W,1,30739,12466,No,Regularly Late,24.97,126.85
Gig Worker,Primary,5.73,3,50266,Karimnagar,Own,2W,3,23573,6227,No,Always On Time,43.73,206.65
Trader,Postgraduate,4.19,1,19911,Rangareddy,Rent,2W,4,7844,12936,Yes,Sometimes Late,32.91,165.55
Government,Postgraduate,10.28,1,100673,Karimnagar,Rent,None,1,52881,21292,No,Always On Time,82.09,425.45
Unemployed,Primary,14.0,3,113672,Nizamabad,Rent,Car,3,18683,38954,Yes,Sometimes Late,81.0,419.0
Trader,12th,6.33,2,26515,Nalgonda,Own,Car,3,57782,11310,No,Sometimes Late,36.09,182.45
Government,Postgraduate,14.18,2,31056,Kamareddy,Own,2W,2,47773,11794,No,Regularly Late,50.13,250.65
Gig Worker,12th,13.12,5,46372,Jagtial,Family,Car,2,5152,8464,Yes,Always On Time,46.2,254.0
Gig Worker,10th,11.53,1,56811,Siddipet,Rent,None,4,3052,6220,No,Regularly Late,62.37,287.85
Farmer,12th,8.17,2,56642,Medak,Rent,Car,3,25296,16682,No,Rarely Paid,53.91,268.55
Trader,12th,4.55,3,32702,Siddipet,Rent,2W,2,36135,34636,No,Rarely Paid,33.18,142.9
Farmer,12th,2.86,0,111295,Nalgonda,Family,Car,3,27934,30617,Yes,Rarely Paid,74.29,353.45
Gig Worker,Postgraduate,10.41,4,74345,Nizamabad,Family,None,2,23521,43568,No,Always On Time,59.45,315.25
Labour,10th,3.44,2,11589,Hyderabad,Rent,2W,3,27895,5584,No,Always On Time,24.29,128.45
Government,Graduate,11.71,4,64334,Mahabubabad,Own,Car,2,16283,46868,No,Always On Time,56.4,298.0
Labour,10th,4.87,5,115015,Medak,Family,Car,4,16844,49341,Yes,Rarely Paid,60.64,312.2
Farmer,12th,1.79,0,13589,Kamareddy,Family,None,2,41406,14318,Yes,Regularly Late,29.48,127.4
Government,Primary,8.56,2,91673,Mahbubnagar,Rent,None,2,53666,16009,Yes,Rarely Paid,72.01,373.05
Farmer,Graduate,11.12,1,39204,Bhadradri Kothagudem,Family,2W,4,59985,34654,No,Always On Time,52.95,261.75
Unemployed,Primary,0.4,2,59717,Rangareddy,Rent,None,1,44034,26224,Yes,Sometimes Late,43.79,217.95
Labour,Primary,19.75,1,51958,Karimnagar,Own,Car,4,14506,46585,No,Regularly Late,72.27,385.35
Gig Worker,10th,9.95,5,42304,Rangareddy,Own,2W,2,12128,10921,No,Always On Time,39.41,214.05
Farmer,Primary,13.1,2,38192,Karimnagar,Family,2W,1,30901,8673,Yes,Regularly Late,52.08,253.4
Trader,Graduate,1.52,1,92283,Mahbubnagar,Family,2W,3,4293,28022,Yes,Always On Time,65.09,304.45
Gig Worker,10th,13.13,1,76238,Bhadradri Kothagudem,Rent,None,3,51610,42331,Yes,Rarely Paid,74.48,357.4
Trader,Graduate,11.16,1,63815,Adilabad,Own,Car,2,40120,2935,No,Rarely Paid,65.31,312.55
Trader,Graduate,17.01,5,60598,Medak,Family,Car,3,7003,25468,No,Rarely Paid,59.15,279.75
Unemployed,Postgraduate,9.84,1,114763,Nizamabad,Family,None,3,3799,8524,Yes,Always On Time,81.43,389.15
Unemployed,Primary,2.54,2,15435,Siddipet,Own,None,4,8872,34798,No,Regularly Late,24.86,122.3
Farmer,10th,13.1,2,38531,Mahbubnagar,Family,None,2,3533,42359,Yes,Regularly Late,52.25,263.25
Farmer,Primary,9.68,0,93734,Mahbubnagar,Family,2W,3,16478,40821,Yes,Regularly Late,81.39,421.95
Farmer,10th,16.87,5,72173,Jagtial,Family,2W,1,41220,31694,Yes,Sometimes Late,64.72,333.6
Gig Worker,Graduate,9.52,0,50470,Medak,Rent,2W,2,20989,46242,Yes,Sometimes Late,59.52,308.6
Gig Worker,Graduate,1.99,2,13964,Nizamabad,Rent,None,2,19438,668,No,Regularly Late,23.3,111.5
Gig Worker,Postgraduate,10.5,4,29437,Medak,Family,None,1,21268,6497,No,Rarely Paid,37.14,167.7
Labour,Graduate,1.26,4,13431,Mahbubnagar,Own,None,3,42869,22284,No,Always On Time,15.27,59.35
Gig Worker,Primary,0.2,1,108272,Mahbubnagar,Family,Car,2,8201,18392,No,Sometimes Late,66.97,355.85
Government,Primary,15.21,3,100803,Khammam,Family,2W,3,30036,33016,No,Always On Time,82.82,403.1
Labour,Graduate,19.33,5,50923,Karimnagar,Rent,2W,1,58750,19336,Yes,Rarely Paid,57.79,310.95
Trader,10th,18.03,0,90590,Medchal,Rent,2W,2,35128,9441,Yes,Sometimes Late,92.34,481.7
Farmer,12th,12.03,5,90934,Hyderabad,Rent,None,1,23078,8330,No,Rarely Paid,66.85,348.25
Gig Worker,12th,2.63,3,70723,Medchal,Rent,None,3,20175,5111,No,Always On Time,49.31,238.55
Unemployed,Graduate,5.27,0,60237,Mancherial,Family,2W,3,13993,25033,No,Regularly Late,58.02,306.1
Farmer,10th,2.06,1,103252,Mahabubabad,Own,None,1,17539,16714,Yes,Sometimes Late,69.76,342.8
Gig Worker,10th,4.06,5,72100,Karimnagar,Family,Car,3,22163,9590,Yes,Sometimes Late,45.47,207.35
Trader,Primary,2.42,2,48324,Nalgonda,Rent,2W,4,37615,9617,No,Always On Time,41.13,191.65
Trader,12th,6.74,1,60622,Nalgonda,Rent,2W,1,4503,42528,No,Always On Time,57.09,261.45
Labour,Postgraduate,12.31,5,91377,Warangal,Rent,None,3,24257,44007,Yes,Sometimes Late,67.49,318.45
Government,Postgraduate,13.74,2,89949,Nizamabad,Rent,None,2,14712,2652,No,Rarely Paid,78.92,384.6
Unemployed,Primary,15.21,4,75070,Siddipet,Rent,None,2,36903,6050,Yes,Rarely Paid,67.02,312.1
Gig Worker,10th,1.09,3,54429,Karimnagar,Rent,None,2,6183,40129,Yes,Rarely Paid,38.85,213.25
Farmer,Postgraduate,3.82,4,61528,Siddipet,Rent,2W,3,40136,33773,No,Sometimes Late,43.16,192.8
Gig Worker,Postgraduate,16.75,2,118004,Khammam,Own,Car,3,19638,30592,No,Sometimes Late,88.46,443.3
Government,10th,12.76,1,56419,Khammam,Own,2W,1,54973,28401,Yes,Sometimes Late,64.02,344.1
Unemployed,10th,11.1,0,12034,Jagtial,Own,Car,4,13026,28549,Yes,Sometimes Late,42.67,230.35
Unemployed,10th,11.61,5,88505,Medchal,Own,None,2,55058,41881,No,Sometimes Late,65.0,339.0
Trader,10th,12.84,0,68926,Mancherial,Family,2W,1,16087,7084,Yes,Sometimes Late,73.72,380.6
Gig Worker,Graduate,10.77,3,118160,Mancherial,Own,2W,1,54093,27393,Yes,Rarely Paid,76.16,387.8
Government,Primary,7.24,3,113655,Jagtial,Own,2W,1,5342,395,Yes,Rarely Paid,70.86,356.3
Unemployed,12th,6.9,0,96754,Kamareddy,Own,2W,1,45856,35684,Yes,Regularly Late,78.73,368.65
Farmer,Primary,0.78,3,70521,Medchal,Rent,Car,1,16550,12398,Yes,Always On Time,46.43,214.15
Gig Worker,10th,10.79,4,29723,Khammam,Family,2W,1,39468,30127,Yes,Sometimes Late,37.71,199.55
Government,12th,6.78,0,57722,Warangal,Own,None,4,46852,17111,Yes,Regularly Late,59.03,301.15
Gig Worker,Postgraduate,11.14,1,53103,Medak,Own,None,1,31656,41667,Yes,Rarely Paid,59.93,321.65
Gig Worker,Postgraduate,9.8,4,9802,Adilabad,Own,Car,4,53463,45165,Yes,Rarely Paid,26.27,148.35
Unemployed,Primary,6.68,2,29933,Medak,Family,Car,1,16563,26266,No,Always On Time,38.32,202.6
Unemployed,Graduate,16.63,1,32393,Mahabubabad,Rent,2W,2,18211,40370,Yes,Regularly Late,57.81,267.05
Government,12th,9.26,0,59843,Mahabubabad,Rent,None,4,23406,30116,No,Sometimes Late,63.81,323.05
Government,Primary,10.54,0,71196,Hyderabad,Family,None,1,9512,37408,No,Sometimes Late,71.41,337.05
Gig Worker,10th,13.32,5,70376,Medak,Family,None,1,37380,274,Yes,Always On Time,58.5,312.5
Farmer,Postgraduate,6.95,4,30740,Khammam,Family,Car,3,53801,45005,No,Regularly Late,32.46,155.3
Unemployed,12th,16.55,3,18270,Adilabad,Family,Car,4,8030,13041,No,Sometimes Late,43.96,225.8
Labour,Postgraduate,15.31,2,81316,Medchal,Family,Car,1,44599,5475,No,Regularly Late,76.96,367.8
Government,12th,3.4,1,86362,Medak,Family,2W,2,46508,1648,No,Sometimes Late,64.95,310.75
Labour,Primary,18.85,1,106623,Mahabubabad,Family,Car,3,28430,35738,No,Always On Time,94.94,459.7
Gig Worker,Graduate,7.15,1,70437,Nizamabad,Rent,None,3,7126,45873,No,Always On Time,62.61,333.05
Trader,Graduate,2.52,5,42593,Nalgonda,Rent,2W,2,31456,10728,No,Regularly Late,28.41,132.05
Labour,Postgraduate,6.28,3,32436,Nalgonda,Rent,Car,3,58959,30129,Yes,Rarely Paid,35.64,153.2
Labour,Postgraduate,6.96,0,87875,Karimnagar,Own,2W,2,44959,28970,Yes,Always On Time,74.38,390.9
Farmer,12th,15.03,3,102883,Nizamabad,Family,2W,3,30012,18775,No,Rarely Paid,82.54,407.7
Trader,12th,15.53,3,94400,Nalgonda,Family,2W,3,16783,49957,No,Rarely Paid,80.49,406.45
Gig Worker,Primary,17.31,1,51300,Jagtial,Family,None,2,16501,9862,No,Rarely Paid,68.28,328.4
Government,Postgraduate,18.08,5,63822,Mahabubabad,Family,2W,1,21658,6238,No,Rarely Paid,62.36,319.8
Unemployed,Postgraduate,6.45,5,11184,Mahabubabad,Family,Car,4,53824,1014,No,Always On Time,18.6,71.0
Labour,Postgraduate,14.23,3,12819,Jagtial,Rent,None,4,17471,727,Yes,Regularly Late,37.75,190.75
Gig Worker,Postgraduate,17.53,1,78027,Medak,Own,Car,3,3441,2413,Yes,Always On Time,81.98,421.9
Gig Worker,Primary,4.48,5,94030,Adilabad,Family,None,2,10970,30801,No,Rarely Paid,57.07,290.35
Trader,Graduate,18.82,2,82492,Mahbubnagar,Family,2W,3,59716,5225,No,Regularly Late,82.81,415.05
Unemployed,Graduate,14.33,4,76915,Mahabubabad,Family,None,2,14718,33982,No,Regularly Late,66.62,312.1
Unemployed,12th,18.33,3,106710,Kamareddy,Family,None,1,14390,19114,Yes,Regularly Late,87.5,436.5
Gig Worker,10th,12.15,1,58360,Karimnagar,Own,Car,4,28565,48607,No,Rarely Paid,64.07,297.35
Farmer,Graduate,7.03,2,45726,Nalgonda,Own,None,1,38164,32929,No,Regularly Late,46.74,240.7
Farmer,12th,6.08,5,19190,Karimnagar,Own,2W,1,11362,44109,Yes,Always On Time,22.05,88.25
Unemployed,Graduate,7.6,4,119086,Kamareddy,Family,2W,3,45839,44762,Yes,Sometimes Late,68.07,339.35
Farmer,Postgraduate,17.91,4,39378,Medak,Rent,2W,1,30963,49307,No,Always On Time,53.22,260.1
Labour,12th,9.92,4,111426,Nalgonda,Own,None,3,38446,19198,No,Rarely Paid,71.55,365.75
Unemployed,12th,16.09,2,26238,Mahbubnagar,Own,2W,4,21434,47599,No,Sometimes Late,50.59,252.95
Unemployed,12th,11.35,1,46534,Mahbubnagar,Own,Car,2,28645,6895,Yes,Sometimes Late,56.96,263.8
Gig Worker,Graduate,18.53,2,46172,Warangal,Own,None,1,25844,12389,No,Sometimes Late,64.21,330.05
Labour,Primary,14.13,1,19532,Jagtial,Own,None,3,36384,43781,Yes,Always On Time,47.63,240.15
Unemployed,Graduate,10.0,5,96627,Bhadradri Kothagudem,Own,None,4,29110,22514,No,Rarely Paid,66.65,336.25
Labour,12th,10.54,5,111362,Medak,Rent,2W,3,51839,7461,No,Rarely Paid,69.14,328.7
Trader,10th,19.79,1,40310,Mancherial,Own,None,2,44892,18372,Yes,Always On Time,66.51,344.55
Unemployed,12th,12.09,3,56817,Kamareddy,Family,None,1,39228,21283,Yes,Sometimes Late,56.54,306.7
Labour,Primary,9.88,0,74668,Adilabad,Rent,None,4,43560,12213,Yes,Rarely Paid,72.15,340.75
Gig Worker,10th,19.15,5,87515,Medchal,Rent,Car,1,35580,17655,Yes,Always On Time,75.82,372.1
Farmer,10th,10.71,1,20411,Mahbubnagar,Rent,2W,1,9549,41976,Yes,Sometimes Late,42.94,232.7
Government,Primary,18.21,4,95825,Kamareddy,Family,None,1,22937,15489,No,Regularly Late,81.89,394.45
Government,Postgraduate,1.38,0,19777,Mahbubnagar,Family,2W,1,23993,22793,Yes,Always On Time,31.96,135.8
Government,Primary,3.64,1,117438,Rangareddy,Rent,Car,1,23959,20414,No,Always On Time,72.13,381.65
Government,Graduate,2.39,2,42677,Medchal,Family,None,1,27671,34493,Yes,Regularly Late,38.26,209.3
Labour,Primary,10.11,2,22803,Mahabubabad,Family,Car,2,3900,24501,No,Sometimes Late,39.9,217.5
Gig Worker,10th,4.92,4,78745,Mahabubabad,Rent,2W,3,52329,20374,No,Rarely Paid,53.42,250.1
Labour,Graduate,6.21,5,91477,Mahbubnagar,Own,Car,1,25921,1983,Yes,Rarely Paid,58.39,286.95
Labour,Graduate,19.76,2,49666,Rangareddy,Rent,Car,1,56931,4492,Yes,Sometimes Late,67.81,337.05
Trader,10th,11.72,1,36753,Adilabad,Family,None,2,35143,47822,No,Regularly Late,52.62,271.1
Government,Primary,10.44,4,28167,Jagtial,Family,2W,4,46769,21298,No,Sometimes Late,36.41,178.05
Farmer,12th,13.62,5,70871,Warangal,Own,Car,2,51122,30089,No,Sometimes Late,59.2,273.0
Farmer,Primary,5.39,0,94586,Kamareddy,Family,2W,4,29522,34766,Yes,Regularly Late,75.38,362.9
Trader,Primary,3.43,4,27212,Rangareddy,Own,Car,4,35569,8291,No,Rarely Paid,25.42,129.1
Labour,Postgraduate,4.21,1,48561,Medak,Family,2W,2,41355,28619,Yes,Always On Time,47.26,240.3
Labour,12th,15.99,0,48564,Siddipet,Own,Car,2,10522,12813,No,Always On Time,68.27,341.35
Labour,Graduate,4.43,2,104812,Siddipet,Rent,Car,4,32388,23535,Yes,Always On Time,69.98,371.9
Trader,12th,12.69,1,22685,Nalgonda,Rent,Car,2,35019,11995,No,Always On Time,47.04,230.2
Labour,Postgraduate,9.95,2,94346,Nalgonda,Family,None,1,25285,1643,No,Sometimes Late,75.43,379.15
Trader,Postgraduate,2.98,0,52457,Mahabubabad,Family,None,1,6790,28199,Yes,Sometimes Late,50.7,253.5
Unemployed,12th,15.67,5,8218,Jagtial,Rent,2W,4,8485,24327,No,Rarely Paid,30.95,161.75
Government,Graduate,18.27,2,75678,Mancherial,Rent,None,2,38939,41059,Yes,Rarely Paid,78.58,387.9
Trader,10th,4.44,2,40966,Bhadradri Kothagudem,Family,None,1,39758,8823,Yes,Always On Time,40.48,211.4
Government,Postgraduate,16.09,2,46749,Nalgonda,Own,2W,3,20856,45092,No,Regularly Late,60.84,312.2
Trader,12th,6.03,0,41824,Warangal,Own,None,3,35735,22730,Yes,Always On Time,49.96,264.8
Government,Postgraduate,8.2,0,11821,Warangal,Rent,2W,1,4863,33172,Yes,Sometimes Late,38.21,212.05
Gig Worker,Primary,5.23,5,74669,Nalgonda,Own,2W,1,13918,39972,No,Always On Time,48.51,234.55
Farmer,10th,10.43,3,108621,Nizamabad,Family,Car,3,22602,49344,No,Regularly Late,75.64,363.2
Unemployed,10th,18.75,5,112280,Adilabad,Own,None,3,38326,6661,Yes,Always On Time,81.46,404.3
Unemployed,Primary,10.72,2,42587,Hyderabad,Own,2W,1,29942,6722,Yes,Regularly Late,50.71,275.55
Labour,Graduate,10.48,0,103766,Khammam,Family,None,1,39943,23319,Yes,Sometimes Late,85.72,424.6
Trader,Primary,2.49,3,28599,Mancherial,Rent,2W,3,5073,2809,No,Sometimes Late,28.03,131.15
Unemployed,Primary,1.88,1,41406,Bhadradri Kothagudem,Family,None,4,21715,27484,No,Rarely Paid,40.19,179.95
Unemployed,Postgraduate,18.16,3,100954,Jagtial,Family,Car,1,30168,35036,Yes,Sometimes Late,87.24,454.2
Labour,12th,11.82,5,71277,Nizamabad,Family,None,1,37833,3831,Yes,Always On Time,56.7,268.5
Trader,Graduate,10.23,4,84668,Nalgonda,Family,2W,1,49108,39485,Yes,Always On Time,64.35,325.75
Labour,Graduate,12.68,1,110723,Jagtial,Own,None,4,39985,18489,No,Regularly Late,85.69,417.45
Gig Worker,12th,6.77,0,12255,Bhadradri Kothagudem,Rent,Car,4,38456,157,No,Sometimes Late,36.28,182.4
Gig Worker,12th,19.55,0,104732,Adilabad,Family,None,2,3011,15217,No,Always On Time,99.33,500.0
Labour,Postgraduate,4.49,5,74426,Hyderabad,Own,2W,3,32581,15587,No,Rarely Paid,47.28,243.4
Trader,Primary,11.28,2,103519,Karimnagar,Rent,None,4,13556,35742,No,Always On Time,80.25,395.25
Government,10th,19.26,4,111217,Nalgonda,Rent,Car,2,35010,21978,Yes,Always On Time,85.56,417.8
Labour,Primary,11.62,4,69700,Adilabad,Rent,Car,1,31289,24712,No,Rarely Paid,58.95,302.75
Government,Graduate,9.44,2,92652,Mahabubabad,Family,Car,4,32481,4737,No,Always On Time,73.82,345.1
Farmer,Postgraduate,18.72,4,95424,Hyderabad,Own,2W,3,13770,11629,Yes,Regularly Late,82.46,421.3
Government,12th,19.57,4,88092,Karimnagar,Rent,None,1,50042,18599,No,Sometimes Late,80.07,414.35
Farmer,Graduate,12.52,1,100005,Khammam,Family,None,1,45043,21384,No,Sometimes Late,85.45,429.25
Trader,Graduate,4.57,1,22754,Kamareddy,Rent,None,3,17770,41206,No,Always On Time,34.9,195.5
Government,10th,14.02,4,9249,Nalgonda,Rent,Car,4,35855,19020,Yes,Regularly Late,32.32,174.6
